word,cluster
на,504
во,504
и,494
од,504
за,504
со,504
да,443
година,70
како,538
што,538
дека,461
не,443
а,504
ќе,443
до,504
или,538
кој,538
по,504
тоа,538
Македонија,98
има,796
но,162
тој,538
1,176
може,606
дел,729
според,629
време,525
кога,622
други,217
2017,34
така,538
еден,573
додека,538
мај,271
многу,778
каде,538
само,538
2,176
околу,549
под,634
страна,792
биде,377
пред,525
па,579
кон,350
Скопје,98
било,377
век,70
поради,538
наоѓа,796
им,443
3,176
меѓу,746
календар,498
кај,792
овој,573
број,25
of,714
исто,538
треба,606
јазик,625
изнесува,719
уште,622
без,538
односно,719
преку,245
10,176
против,399
при,672
тие,538
4,176
the,462
12,176
таа,538
неколку,138
место,259
САД,98
нема,606
претставува,796
mag,555
светот,98
20,176
започнува,55
13,176
0,176
Германија,98
11,176
5,176
којшто,498
15,176
цел,147
работи,463
град,269
19,176
би,443
ако,461
над,549
септември,271
помеѓу,746
бидејќи,538
врз,425
6,176
три,138
небо,629
начин,729
низ,4
нив,461
14,176
период,729
and,462
споменува,796
село,259
s,487
пат,729
пак,538
мини,83
сјај,719
голем,25
веќе,622
7,176
16,176
два,138
заедно,792
ден,786
војна,393
18,176
македонски,286
агол,719
денес,622
30,176
23,176
пример,729
8,176
9,176
пренасочување,370
Европа,98
смета,796
17,176
24,176
22,176
живот,266
март,271
систем,215
25,176
2010,34
21,176
користи,354
работа,197
јануари,271
име,308
освен,538
повторно,622
2016,34
потоа,622
прв,573
m,487
точка,719
2008,34
2009,34
26,176
јуни,271
април,271
27,176
2011,34
in,725
a,725
објект,629
секој,573
поделба,689
ни,443
група,520
август,271
јули,271
општина,269
де,380
протега,213
десно,83
игра,754
октомври,271
црква,37
Франција,98
помош,197
претседател,496
покрај,538
декември,271
интернет,424
договор,292
28,176
едно,737
често,538
2012,34
ноември,271
разговор,729
член,496
предмет,729
2006,34
среќава,796
вклучен,45
2007,34
Русија,98
особено,538
станува,796
оној,573
сега,622
центар,636
туку,538
класификација,371
трае,525
свет,566
истражување,279
затоа,538
состојба,689
збор,563
општ,629
некој,573
дури,538
вели,797
февруари,271
каталог,629
припаѓа,213
иако,538
врска,324
лица,411
2014,34
Турција,98
цар,13
откако,622
29,176
тогаш,622
h,176
2001,34
2015,34
држава,520
Грција,98
мора,606
Италија,98
око,719
2013,34
сепак,538
50,176
четири,138
познат,65
значи,796
ред,735
сè,344
права,463
периодот,271
население,442
вид,455
to,787
2005,34
дали,461
куќа,365
понеделник,42
големи,217
луѓето,538
постои,796
галаксија,629
агенција,520
земја,520
однос,782
организација,520
роден,255
х,725
филм,280
Никола,712
2002,34
вода,346
1958,763
деклинација,719
денеска,42
2004,34
теме,719
власт,386
содржи,55
видео,501
измерен,719
нешто,563
основа,689
честота,719
Бугарија,98
нов,183
разлика,40
сили,463
крај,694
дело,412
неа,538
култура,466
ЕУ,397
вклучувајќи,734
влада,386
групиран,783
доколку,538
развој,350
изјави,252
А,443
избори,120
Србија,98
којашто,538
резултат,729
забележан,100
сезона,22
мери,498
улога,40
100,554
