word,cluster
на,265
во,265
и,1067
од,265
за,265
со,265
да,1045
година,185
како,654
што,654
дека,654
не,1045
а,1067
ќе,1045
до,1067
или,654
кој,65
по,265
тоа,654
Македонија,223
има,725
но,1067
тој,1002
1,271
може,1069
дел,76
според,654
време,235
кога,654
други,547
2017,185
така,654
еден,1002
додека,503
мај,716
многу,755
каде,65
само,654
2,271
околу,494
под,806
страна,508
биде,334
пред,235
па,1067
кон,508
Скопје,988
било,334
век,498
поради,654
наоѓа,725
им,1045
3,271
меѓу,451
календар,1089
кај,451
овој,1002
број,76
of,1070
исто,538
треба,1069
јазик,181
изнесува,924
уште,834
без,334
односно,924
преку,508
10,271
против,552
при,552
тие,654
4,271
the,565
12,789
таа,654
неколку,547
место,610
САД,661
нема,1069
претставува,725
mag,924
светот,25
20,789
започнува,979
13,789
0,271
Германија,223
11,789
5,271
којшто,1089
15,789
цел,279
работи,975
град,743
19,789
би,1045
ако,654
над,494
септември,716
помеѓу,451
бидејќи,654
врз,552
6,271
три,426
небо,327
начин,1002
низ,25
нив,451
14,789
период,235
and,565
споменува,188
село,841
s,254
пат,777
пак,654
мини,674
сјај,924
голем,76
веќе,834
7,271
16,789
два,426
заедно,451
ден,154
војна,71
18,789
македонски,339
агол,924
денес,834
30,789
23,789
пример,1002
8,271
9,271
пренасочување,679
Европа,25
смета,940
17,789
24,789
22,789
живот,450
март,716
систем,48
25,789
2010,185
21,789
користи,619
работа,97
јануари,716
име,299
освен,654
повторно,503
2016,185
потоа,503
прв,777
m,702
точка,924
2008,185
2009,185
26,789
јуни,716
април,716
27,789
2011,185
in,1115
a,1070
објект,48
секој,1002
поделба,920
ни,1045
група,1033
август,716
јули,716
општина,869
де,1010
протега,1044
десно,807
игра,326
октомври,716
црква,1132
Франција,223
помош,277
претседател,739
покрај,654
декември,716
интернет,682
договор,732
28,789
едно,468
често,1021
2012,185
ноември,716
разговор,69
член,739
предмет,48
2006,185
среќава,77
вклучен,10
2007,185
Русија,223
особено,755
станува,725
оној,1002
сега,834
центар,743
туку,654
класификација,1081
трае,235
свет,25
истражување,369
затоа,654
состојба,71
збор,581
општ,327
некој,1002
дури,503
вели,940
февруари,716
каталог,327
припаѓа,98
иако,654
врска,97
лица,1097
2014,185
Турција,721
цар,116
откако,503
29,789
тогаш,654
h,254
2001,185
2015,185
држава,869
Грција,223
мора,1069
Италија,223
око,924
2013,185
сепак,654
50,82
четири,426
познат,1191
значи,654
ред,802
сè,1067
права,275
периодот,235
население,211
вид,1002
to,1070
2005,185
дали,654
куќа,139
понеделник,766
големи,547
луѓето,451
постои,725
галаксија,327
агенција,1033
земја,869
однос,782
организација,1033
роден,707
х,293
филм,737
Никола,417
2002,185
вода,536
1958,65
деклинација,924
денеска,358
2004,185
теме,924
власт,869
содржи,528
видео,682
измерен,924
нешто,468
основа,920
честота,924
Бугарија,223
нов,313
разлика,451
сили,1118
крај,806
дело,692
неа,451
култура,638
ЕУ,265
вклучувајќи,335
влада,869
групиран,190
доколку,654
развој,450
изјави,442
А,75
избори,364
Србија,223
којашто,65
резултат,51
забележан,487
сезона,1172
мери,1089
улога,576
100,494
ниво,692
опсерваторија,65
ниту,1002
гледиште,116
област,869
премиер,739
пет,426
добро,538
направи,285
првенство,692
контрола,97
петок,766
км,702
целосно,334
партија,869
износ,924
англиски,965
користење,158
форма,920
употреба,920
близина,65
пати,1077
право,618
освои,206
km,702
народ,809
јулијански,1089
Александар,417
почеток,1009
книга,1063
Груевски,630
влијание,692
pm,274
недела,766
style,917
am,1084
политички,390
енергија,620
функција,576
прави,619
себе,451
2000,185
политика,638
училиште,941
изграден,215
шест,426
Британија,661
for,470
човек,604
промени,1185
друг,1002
површина,1044
веднаш,503
награда,954
2003,185
заштита,277
случај,1002
м,702
