word,cluster
</s>,13
на,81
и,13
во,42
сум,13
за,81
да,29
од,151
себе,13
со,151
тој,29
кој,13
ќе,151
тие,29
не,29
таа,29
а,13
ако,29
што,13
2015,31
дека,29
close,31
connection,31
net,6
gmt,31
oct,31
date,31
како,13
има,151
овој,13
може,29
година,154
многу,13
вие,29
тоа,13
биде,151
по,151
еден,13
нов,154
до,151
16,31
или,13
свој,151
1,196
голем,151
content,31
2,196
length,31
сиот,13
јас,40
нема,13
ден,142
3,196
17,31
сака,29
ваш,113
дел,151
кога,29
Македонија,180
fri,31
5,196
треба,29
време,114
но,137
без,13
само,13
пред,69
4,196
некој,40
ти,40
добар,54
друг,13
10,31
прв,154
работа,66
12,31
18,31
20,31
наш,13
би,29
човек,13
19,31
бидејќи,13
уште,151
свет,144
секој,13
sat,31
направи,151
тогаш,29
негов,199
цел,13
ние,13
15,31
6,196
кај,13
два,106
11,31
оној,13
автомобил,186
број,68
македонски,166
па,40
мој,31
така,13
место,151
Скопје,8
дали,29
00,31
дете,50
знае,29
7,196
13,31
14,31
живот,13
кон,175
пат,194
21,31
земја,42
нивен,49
мал,13
преку,69
нешто,13
веќе,154
8,196
каде,13
види,151
добие,151
производ,163
страна,197
2014,154
час,142
0,196
прави,151
22,31
малку,13
ист,27
при,132
mk,113
сега,151
30,196
користи,27
компанија,81
лице,110
апликација,173
проблем,13
by,41
видео,123
x,6
9,196
ама,40
начин,54
жена,50
вели,151
помош,64
неколку,13
страница,100
град,156
работи,66
месец,154
мора,29
околу,151
додека,151
бара,37
игра,187
sun,31
систем,27
избор,92
23,31
вода,122
против,33
одлука,198
2013,154
втор,35
љубов,127
сам,13
добро,54
поради,160
светски,154
колку,13
google,25
цена,68
информација,113
последен,192
ни,125
член,198
потребен,159
под,151
милион,68
познат,194
mon,31
висок,68
американски,98
стане,151
тим,35
октомври,154
тело,39
рече,151
според,26
пак,29
07,31
три,106
центар,17
одговара,31
оди,151
24,31
модел,186
нејзин,13
евро,68
25,31
денес,142
секс,123
корисник,113
гледа,147
меѓу,13
the,75
направен,100
зошто,13
крај,167
08,31
претседател,115
затоа,143
можност,10
50,2
долг,151
празник,89
право,198
исто,13
06,31
име,71
09,31
боја,139
2012,154
2011,154
дојде,151
02,31
разлика,135
01,31
општина,8
програма,81
проект,81
држава,33
постои,155
фотографија,109
купува,43
000,2
збор,13
врска,13
каже,29
прашање,13
03,31
вистински,145
европски,180
cache,6
бог,14
почне,179
туку,13
храна,4
доколку,151
филм,93
accept,6
период,154
05,31
промена,13
низ,13
стар,88
активност,19
известува,113
врз,151
in,41
млад,13
секогаш,13
04,31
форма,13
нуди,54
момент,137
вест,154
40,31
средство,146
слика,53
26,31
најде,151
граѓанин,180
маж,95
група,13
facebook,25
новогодишен,183
натпревар,191
објавен,154
минута,114
e,53
мисли,29
твој,14
резултат,151
пара,104
значи,151
server,6
често,13
погледне,147
изгледа,111
договор,195
потоа,159
автор,88
возило,46
даде,151
tue,31
република,180
28,31
тек,114
таков,13
употреба,27
носи,151
недела,154
контакт,113
27,31
повторно,151
живее,151
над,151
акција,174
смета,13
јавен,180
kupikniga,113
интернет,91
дури,13
рака,190
однос,68
банка,37
развој,135
бренд,55
општ,100
телефон,164
податок,113
бел,139
услов,13
толку,13
годишен,183
пазар,68
каков,13
закон,198
рецепт,21
остане,151
Европа,42
to,138
различен,116
стави,157
следен,192
откако,187
ray,6
потреба,159
услуга,81
претставува,117
почеток,154
cf,6
одличен,116
бизнис,81
cloudflare,6
наоѓа,72
31,31
врати,182
причина,132
29,31
encoding,6
vary,6
nginx,6
dus,6
објави,154
of,75
кожа,39
САД,42
песна,48
заштита,27
долар,68
домашен,24
официјален,148
дом,151
дава,43
маркетинг,87
покаже,151
верзија,164
случај,198
барем,37
благодарение,84
вредност,10
станува,117
политички,90
превод,100
ниту,13
бебе,50
медиум,180
работен,66
заедно,151
агенција,174
влада,92
син,107
потврди,159
решение,24
барање,198
мобилен,44
ниво,68
очекува,177
сила,151
книга,71
100,2
no,56
главен,16
серија,59
успее,151
навистина,13
после,155
започне,151
ништо,13
јазик,20
ли,125
доаѓа,151
35,31
48,31
односно,137
категорија,154
home,138
организација,32
технологија,108
сдсм,92
лесно,137
тука,13
добива,151
Александар,86
одржи,169
меѓународен,180
on,41
powered,6
заев,115
моли,113
уред,44
сезона,187
s,53
никогаш,29
овозможува,54
translate,100
сепак,13
важен,13
простор,165
државен,180
преглед,64
остави,151
попуст,100
зборува,76
форум,113
пријател,95
мрежа,44
дело,13
победа,191
вид,27
Груевски,7
септември,154
болест,77
масло,97
брз,54
настан,154
коментар,175
помеѓу,151
45,31
заврши,151
содржина,113
албум,48
32,31
квалитет,184
девојка,127
отворен,129
лига,191
предлог,134
случи,151
ваков,13
верува,43
народ,14
награда,74
можеби,29
куќа,165
изјави,180
состојба,13
одговор,195
лош,29
око,199
пишува,76
коса,39
веднаш,179
баш,37
покрај,151
сè,13
средба,180
допаѓа,60
продолжи,151
четири,106
мотор,103
control,100
личност,10
достапен,188
партнер,95
црн,139
последица,47
брзо,36
специјален,148
власт,92
процес,81
запознае,95
a,53
клуб,187
претстави,154
текст,71
регион,42
семејство,146
здравје,4
природен,97
денар,104
55,31
33,31
та,125
тема,13
адреса,113
посета,155
соработка,66
52,31
велес,134
34,31
38,31
содржи,97
хумор,111
останат,194
нека,40
основен,16
црква,89
мајка,50
трет,154
следи,192
помогне,151
иако,13
ред,0
продажба,68
студент,20
почетен,100
социјален,148
иднина,13
битола,8
суд,198
план,81
44,31
силен,13
поддршка,169
i,53
убав,111
токму,13
веројатно,137
еве,151
искуство,146
купи,151
twitter,25
здрав,4
следува,147
спот,48
актуелен,153
лидер,162
слободен,13
бесплатен,102
36,31
борба,13
март,87
знак,13
одреден,0
тежок,13
идеја,13
активен,49
енергија,67
интима,100
спортски,26
земе,151
национален,148
долу,151
британски,98
2010,154
минат,194
особено,13
tagged,48
сигурно,137
пример,193
музика,48
sep,41
пет,106
појави,154
срце,199
мај,154
единствен,16
таму,13
apple,164
42,31
56,31
53,31
улица,47
Г,134
црвен,16
приказна,132
реши,29
област,81
39,31
користење,27
излезе,151
совет,180
41,31
локален,148
51,31
58,31
зашто,14
јаде,4
открие,72
37,31
доволно,189
води,151
59,31
никој,13
август,154
аеродром,122
св,89
57,31
wed,31
веб,113
основа,198
јануари,154
рок,198
база,37
историја,59
авион,72
tags,41
залиха,23
болка,77
универзитет,20
гол,191
сопствен,16
фото,123
54,31
отвори,129
партија,92
чиј,188
Охрид,8
економски,180
политика,180
глава,199
чувствува,95
47,31
порака,182
помине,179
46,31
ноември,154
истражување,72
предмет,20
промоција,174
рамка,81
најави,154
помага,112
сцена,48
училиште,149
гостин,53
можен,13
покажува,43
претходен,69
посебен,155
оглед,147
pleskwin,6
стил,111
plesk,6
учество,146
господ,14
материјал,27
производство,163
електронски,136
појавува,117
донесе,151
49,31
министер,115
ЕУ,180
влезе,179
ке,40
освои,35
компјутер,44
родител,50
човечки,170
интересен,91
јуни,154
пополне,113
век,88
лесен,38
факултет,20
досега,151
фестивал,48
интерес,91
популарен,101
заедница,22
expires,6
култура,88
авто,100
желба,67
директор,81
ужива,111
фитофарм,113
анализа,81
внатрешен,24
денески,142
43,31
october,41
ајде,40
музички,48
улога,93
врвен,16
одлучи,151
април,154
среден,54
додаде,151
средина,13
извештај,81
образование,20
постапка,198
ситуација,80
500,2
шампион,191
2008,154
руски,94
напише,71
кафе,165
лек,64
полиција,110
дома,50
нарачка,140
богат,97
ученик,61
барселона,11
тв,93
microsoft,164
облека,139
брат,36
Србија,59
совета,4
опрема,100
линија,59
декември,154
поврзан,13
екипа,191
windows,164
постигне,155
прекрасен,38
спорт,26
наменет,188
rss,25
пристап,132
функција,174
став,198
сигурен,131
Белград,142
производител,163
чини,68
А,13
мислење,85
Грција,42
извор,13
ѕвезда,142
постојано,155
забава,114
побара,151
огромен,133
изглед,111
previous,187
целосно,137
случува,43
2009,154
концерт,48
англиски,187
тешко,13
продавница,22
јули,154
јавност,10
температура,73
samsung,164
едноставен,54
next,187
стои,151
премногу,69
шанса,29
февруари,154
актер,162
половина,151
вработен,66
контрола,44
понуда,187
личен,116
село,8
сајт,113
pm,41
глас,92
останува,117
метар,156
комисија,180
д,105
обезбедува,147
клиент,140
чекор,54
200,2
концепт,154
ул,8
позитивен,49
освен,16
трае,197
објект,122
сервис,113
премиер,115
безбедност,54
краток,167
еднаш,29
семеен,127
вчера,142
подготвен,16
доцна,151
комбинација,80
полн,151
душа,14
забележи,151
бр,36
вика,40
парче,119
шеќер,21
германски,98
издание,154
понуди,151
дизајн,55
врши,151
изјава,115
год,134
заради,160
соба,165
министерство,146
криза,167
движење,85
Русија,59
речиси,151
финансиски,81
автоматски,44
однесува,43
степен,73
сметка,104
странски,98
продава,68
никаков,13
тип,44
електричен,136
факт,13
android,164
моден,55
р,105
re,53
милијарда,68
чека,151
шест,106
tumblr,25
продолжува,43
тврди,72
батерија,44
праша,40
изнесува,68
постави,155
жив,83
Германија,42
роден,50
успех,13
чист,27
внимание,111
почнува,117
posted,41
воопшто,13
дополнителен,153
d,53
притисок,132
вежба,114
сабота,142
надвор,13
фирма,140
сон,13
чувство,146
илјада,151
трка,35
болница,22
отколку,13
физички,170
слуша,29
некогаш,29
млеко,21
документ,71
технички,79
институција,180
новост,100
заеднички,79
среќен,95
мерка,198
испрати,182
сирење,21
etag,6
модерен,131
третман,39
бројка,68
хотел,165
играч,11
генерација,32
избере,151
површина,73
широк,54
сала,17
позиција,174
калиопи,48
интервју,91
денешен,24
современ,133
нога,73
татко,50
секако,13
врв,156
падне,179
вкус,21
војна,33
утре,142
смрт,199
брак,36
правило,198
audi,186
зголемен,133
едноставно,137
стандард,81
одговори,195
тест,64
картичка,104
ефект,27
iphone,164
граница,22
животен,102
организира,34
bmw,186
80,2
паметен,164
подготвува,117
друштво,146
првенство,146
стручен,20
are,138
победи,191
откаже,29
вистина,13
зголеми,68
успешен,24
македонец,124
претходно,69
состојка,97
детски,94
годишно,183
природа,132
натаму,13
двајца,110
поранешен,24
претставник,61
напад,110
60,2
mercedes,186
скопски,8
оти,199
ромео,48
фудбалер,11
Израел,115
at,41
вмро,92
кликне,113
сериозен,13
квалитетен,102
пол,187
труд,20
Зоран,115
бенд,48
профил,113
менува,117
продукт,140
лето,55
сосема,13
наместо,151
планира,121
Бугарија,59
раст,78
дознае,29
низок,68
петок,142
овде,40
от,125
супер,162
обврска,198
обезбеди,54
научи,29
рак,77
стигне,179
правен,198
држи,169
ризик,77
конечно,154
новинар,110
крв,167
грил,48
оглас,71
фактор,13
зголемува,43
300,2
соодветен,102
терен,131
вечер,142
намали,179
рано,137
намалува,43
патување,65
трансфер,197
опција,174
Никола,166
надворешен,24
category,41
класа,154
извршен,24
омилен,95
создаде,151
смее,29
т,13
нареден,54
града,74
кампања,154
сличен,116
слобода,13
брзина,46
зелен,153
2006,154
градски,122
точка,190
возач,35
враќа,182
плата,104
тренд,55
грешка,190
пациент,64
всушност,10
процент,68
обиде,29
трејлер,93
дпмне,92
сектор,81
годинава,154
дистрибутер,140
намалување,65
влијае,13
елемент,46
ОН,14
среќа,29
разговор,195
професионален,148
летен,102
врата,165
