word,cluster
на,938
и,938
во,938
за,938
да,1289
од,938
со,938
ќе,1289
што,1289
не,1244
дека,1289
како,938
а,1289
тоа,1289
по,1531
кој,1106
до,1422
но,1289
или,938
биде,1289
кога,1610
има,1787
година,1921
може,938
македонија,1017
многу,1289
само,938
овој,1198
тој,1289
треба,832
пред,1610
еден,938
им,505
ако,832
веќе,1787
време,832
така,1289
нема,267
уште,1787
бидејќи,1289
тие,1570
кај,239
дел,1419
кон,1421
па,1787
меѓу,418
2015,1829
1,1131
без,938
таа,1289
преку,938
според,583
при,938
би,1320
каде,1167
дали,445
2,1131
скопје,1998
поради,1937
ни,1244
околу,1025
исто,1289
неколку,194
затоа,1289
работи,205
ден,882
луѓето,1570
сега,1787
3,1131
5,1131
додека,662
10,191
страна,1060
секој,213
нив,1528
начин,1943
доколку,832
други,511
работа,53
место,1663
против,929
4,1131
цел,354
нешто,1244
светот,773
вели,1780
некој,938
ти,1427
колку,832
помеѓу,1924
20,191
под,1245
туку,938
број,352
живот,1180
три,194
пат,1974
било,938
сепак,1289
низ,1826
покрај,1532
000,883
едно,652
с,1108
дури,1787
пак,938
јас,726
иако,1289
врз,788
15,1024
значи,1289
потоа,1663
6,1131
тогаш,1787
12,191
ние,1076
република,1017
мора,2
видео,368
2014,576
30,191
откако,1610
голем,352
наоѓа,902
денес,1787
односно,938
нов,1020
општина,1998
два,194
период,1198
нас,1528
16,1024
вода,963
прашање,445
сум,726
секогаш,213
добро,1954
помош,1808
љубов,1647
над,883
лица,1442
заедно,652
ниту,1244
систем,1240
можност,639
повторно,1787
малку,897
денеска,1415
после,1531
7,1131
8,1131
толку,832
11,191
изјави,1780
себе,1528
зошто,1398
особено,1419
рече,1780
можеби,1289
17,191
18,191
центар,434
станува,1069
2013,576
net,11
0,344
connection,170
close,170
направи,736
доаѓа,749
развој,1050
токму,440
oct,530
тука,1787
меѓутоа,513
соработка,1924
игра,209
храна,1140
14,191
однос,1421
gmt,170
date,530
19,191
13,191
врска,1647
октомври,576
неа,408
прави,723
сад,1192
збор,1069
постои,1061
заштита,1103
веднаш,1610
недела,719
прв,1974
град,263
освен,1341
сдсм,233
еу,946
навистина,544
македонски,1719
претставува,744
пример,938
9,1131
вас,1528
четири,194
интернет,1960
50,295
сака,319
пати,1237
ниво,190
случај,1925
разлика,1867
поддршка,928
проблем,31
септември,576
договор,1255
дојде,736
21,191
користење,998
ништо,1244
човек,138
простор,849
куќа,802
земја,1017
енергија,820
пет,1361
24,191
груевски,782
проект,944
група,778
00,1829
користи,998
25,191
одржи,1529
2012,576
често,441
ама,1410
сезона,1685
ли,445
никогаш,267
крај,1975
бизнис,436
секако,1289
месец,576
вие,1528
целосно,1363
таму,1167
досега,1787
среќа,852
доволно,832
повеќето,1570
свет,792
тим,1992
жените,332
100,1025
право,1060
очекува,1846
друг,938
рок,1037
заради,573
бидете,1528
случи,1935
22,191
знае,1809
ред,1842
нуди,1891
промени,409
големи,1120
лесно,190
бара,144
лице,1721
вмро,233
отколку,673
основа,788
сигурно,1787
држава,623
та,927
тело,36
еве,1398
23,191
тешко,1120
смета,504
состојба,1544
овозможува,1891
намалување,1005
постојано,1105
изгледа,22
продолжи,1896
иднина,1787
натпревар,413
програма,1277
дава,987
добие,1311
барање,144
зголемување,1005
даде,987
момент,447
дпмне,233
посебно,1419
40,191
дома,173
веб,1014
истражување,395
претседател,424
наместо,1295
брзо,1304
јазик,696
заврши,990
води,963
решение,1414
врати,923
претходно,1610
едноставно,938
утре,1356
жени,332
дете,1772
всушност,1303
потреба,832
р,609
резултат,184
избор,964
почеток,990
речиси,735
категорија,1756
избори,1731
вид,1943
мислење,1766
подобрување,877
права,461
млади,1175
велес,1998
образование,1029
