word,cluster
на,222
и,7
во,675
за,118
да,7
од,675
со,675
ќе,675
што,7
не,7
дека,7
како,7
а,675
тоа,7
по,675
кој,476
до,675
но,7
или,7
биде,7
кога,675
има,7
година,461
може,7
македонија,145
многу,683
само,7
овој,386
тој,476
треба,7
пред,675
еден,476
им,7
ако,7
веќе,675
време,675
така,7
нема,7
уште,675
бидејќи,7
тие,7
кај,675
дел,7
кон,418
па,675
меѓу,650
2015,74
1,318
без,7
таа,7
преку,418
според,352
при,150
би,7
каде,675
дали,683
2,318
скопје,591
поради,7
ни,7
околу,675
исто,7
неколку,146
затоа,7
работи,7
ден,601
луѓето,7
сега,675
3,318
5,318
додека,675
10,746
страна,183
секој,393
нив,7
начин,256
доколку,7
други,7
работа,385
место,588
против,547
4,318
цел,738
нешто,7
светот,305
вели,165
некој,31
ти,167
колку,683
помеѓу,650
20,746
под,491
туку,7
број,258
живот,61
три,604
пат,393
било,7
сепак,7
низ,189
покрај,7
000,135
едно,680
с,7
дури,675
пак,7
јас,65
иако,7
врз,796
15,746
значи,7
потоа,675
6,318
тогаш,675
12,746
ние,154
република,145
мора,7
видео,475
2014,391
30,746
откако,675
голем,258
наоѓа,619
денес,601
односно,52
нов,224
општина,117
два,604
период,63
нас,7
16,746
вода,778
прашање,7
сум,65
секогаш,7
добро,680
помош,442
љубов,502
над,675
лица,187
заедно,675
ниту,7
систем,572
можност,338
повторно,675
малку,683
денеска,601
после,675
7,746
8,746
толку,683
11,746
изјави,179
себе,548
зошто,647
особено,682
рече,454
можеби,7
17,746
18,746
центар,591
станува,544
2013,449
net,579
0,318
connection,579
close,579
направи,558
доаѓа,194
развој,457
токму,7
oct,74
тука,675
меѓутоа,7
соработка,613
игра,246
храна,616
14,746
однос,457
gmt,579
date,579
19,746
13,746
врска,177
октомври,449
неа,7
прави,691
сад,301
збор,544
постои,7
заштита,198
веднаш,675
недела,449
прв,393
град,117
освен,7
сдсм,140
еу,283
навистина,683
македонски,609
претставува,245
пример,7
9,746
вас,7
четири,604
интернет,508
50,318
сака,332
пати,675
ниво,427
случај,7
разлика,7
поддршка,183
проблем,258
септември,449
договор,397
дојде,483
21,746
користење,338
ништо,7
човек,476
простор,199
куќа,591
земја,199
енергија,196
пет,604
24,746
груевски,757
проект,176
група,663
00,799
користи,197
25,746
одржи,213
2012,391
често,7
ама,622
сезона,578
ли,152
никогаш,7
крај,675
бизнис,644
секако,7
месец,449
вие,296
целосно,7
таму,675
досега,320
среќа,502
доволно,7
повеќето,7
свет,305
тим,105
жените,12
100,135
право,593
очекува,652
друг,476
рок,63
заради,7
бидете,296
случи,7
22,746
знае,275
ред,675
нуди,17
промени,280
големи,7
лесно,680
бара,691
лице,261
вмро,140
отколку,683
основа,796
сигурно,7
држава,369
та,435
тело,309
еве,675
23,746
тешко,7
смета,332
состојба,120
овозможува,422
намалување,64
постојано,7
изгледа,680
продолжи,651
иднина,7
натпревар,460
програма,423
дава,691
добие,433
барање,6
зголемување,674
даде,351
момент,7
дпмне,140
посебно,7
40,746
дома,675
веб,68
истражување,574
претседател,179
наместо,675
брзо,675
јазик,506
заврши,703
води,691
решение,254
врати,703
претходно,675
едноставно,7
утре,601
жени,12
дете,555
всушност,7
потреба,120
р,9
резултат,710
избор,36
почеток,228
речиси,7
категорија,305
избори,709
вид,258
мислење,684
подобрување,738
права,751
млади,644
велес,340
образование,463
секс,12
годинава,449
член,108
фото,43
пристап,698
име,700
