word,cluster
на,519
</s>,519
и,519
во,519
се,597
за,248
да,597
од,519
со,519
ќе,6
е,326
го,597
што,597
не,597
дека,597
ги,738
како,597
ја,501
кои,126
а,597
тоа,597
по,6
кој,666
до,106
повеќе,378
но,597
или,597
која,501
биде,326
кога,597
има,326
сите,399
година,246
може,597
македонија,37
многу,597
само,597
овој,573
оваа,655
тој,597
треба,736
пред,6
ова,610
беше,747
еден,794
им,109
му,167
ако,597
веќе,597
време,6
така,597
нема,597
уште,597
бидејќи,597
години,348
тие,109
ви,50
кај,519
една,655
дел,519
луѓе,473
кон,519
па,597
меѓу,295
бидат,731
2015,471
1,259
без,597
таа,681
преку,519
според,326
при,519
би,54
каде,158
овие,399
си,744
дали,215
2,125
скопје,340
имаат,126
поради,514
ни,597
околу,454
кое,610
исто,597
неколку,247
затоа,597
работи,684
ден,314
луѓето,351
сега,597
3,125
5,125
додека,597
ми,621
10,125
страна,519
секој,597
нив,597
начин,306
доколку,597
своите,399
други,644
работа,684
ве,50
место,554
против,588
граѓаните,143
некои,399
можат,523
4,125
цел,519
нешто,597
својата,501
нови,100
светот,253
вели,768
беа,339
две,247
некој,597
ти,101
колку,597
него,597
помеѓу,295
20,125
под,519
туку,597
број,685
живот,250
три,247
својот,573
оние,109
сте,50
пат,401
било,54
сепак,597
низ,490
покрај,326
000,145
едно,610
с,597
дури,597
пак,597
јас,481
иако,597
врз,475
15,125
значи,597
евра,454
потоа,519
6,125
тогаш,597
12,125
ние,176
република,674
мора,597
видео,396
2014,471
30,125
откако,6
голем,306
текот,348
можете,50
милиони,454
наоѓа,85
денес,597
односно,519
нов,306
општина,693
биле,558
бил,224
два,247
период,348
нас,597
16,125
вода,116
вашиот,50
прашање,215
сум,481
новиот,573
секогаш,597
она,597
неговата,501
добро,131
часот,314
помош,356
нова,655
љубов,792
над,454
лица,80
нашите,399
нивните,399
заедно,519
секоја,655
сме,176
дена,348
крајот,6
ниту,597
систем,626
можност,28
повторно,6
малку,378
денеска,314
после,6
7,125
информации,631
првиот,401
8,125
толку,597
11,125
нашата,501
изјави,211
себе,597
деца,124
зошто,230
особено,519
рече,309
можеби,597
владата,328
другите,399
животот,11
17,125
прашања,215
18,125
центар,349
голема,655
граѓани,623
станува,326
своето,610
2013,471
net,168
0,645
connection,168
close,168
направи,366
доаѓа,106
ме,375
европа,37
развој,349
токму,597
oct,168
пари,242
тука,597
вашата,50
месеци,348
различни,644
меѓутоа,597
соработка,295
игра,722
храна,633
14,125
неговиот,573
проблеми,405
однос,685
проектот,743
градот,312
gmt,168
date,168
19,125
13,125
врска,792
октомври,471
те,772
неа,336
имате,50
прави,376
сад,33
законот,161
новата,501
децата,199
збор,326
постои,326
заштита,714
веднаш,206
недела,314
услови,292
денот,175
прв,401
вашите,17
град,158
нашиот,573
освен,597
денари,454
првата,554
била,391
сдсм,328
еу,37
сакаат,109
нивната,501
навистина,597
земјата,612
времето,427
државата,711
места,602
македонски,507
претставува,326
пример,519
активности,280
вашето,610
имаме,176
9,125
вас,50
четири,247
интернет,30
50,232
сака,625
земји,37
пати,378
ниво,73
имаше,747
случај,514
неговото,610
разлика,378
поддршка,384
проблем,405
велат,597
минути,560
септември,471
договор,136
дојде,106
21,125
користење,379
ништо,597
човек,83
простор,238
куќа,310
земја,33
енергија,550
пет,247
мене,375
друга,655
24,125
груевски,211
проект,743
група,403
00,471
претседателот,344
потребно,736
користи,379
25,125
одржи,152
двете,295
2012,471
често,597
македонската,749
ама,744
почетокот,6
сезона,297
ли,772
некоја,655
податоци,785
никогаш,597
крај,206
производи,305
помалку,378
бизнис,535
неговите,399
србија,108
секако,597
месец,6
вие,50
целосно,519
таму,597
досега,348
среќа,34
постојат,644
доволно,597
повеќето,597
свет,67
тим,222
жените,799
100,145
право,161
целиот,234
првите,399
часа,314
министерството,691
очекува,227
центарот,349
друг,597
рок,526
подобро,141
користат,379
заради,514
љубовта,792
бидете,50
случи,366
22,125
г,309
знае,625
долари,454
ред,554
нуди,28
промени,643
големи,552
лесно,131
охрид,693
бара,111
лице,244
средства,545
самиот,573
вмро,328
отколку,378
основа,368
работата,684
сигурно,597
држава,711
та,187
компанијата,718
тело,338
еве,744
23,125
тешко,597
смета,326
состојба,514
овозможува,39
намалување,692
постојано,519
изгледа,236
продолжи,791
иднина,6
натпревар,178
програма,668
грција,37
европската,37
дава,326
телото,338
добие,326
младите,496
барање,264
зголемување,692
нивниот,573
даде,326
македонскиот,38
прашањето,215
момент,6
проекти,743
дпмне,328
посебно,519
40,125
бројот,692
дома,206
веб,30
сакате,50
истражување,289
поголема,378
најмногу,452
претседател,344
наместо,519
останатите,399
брзо,131
прават,195
јазик,531
медиуми,88
заврши,191
води,326
истиот,234
решение,111
поголем,378
името,531
врати,366
претходно,412
едноставно,332
утре,314
жени,799
дете,270
всушност,597
процесот,626
потреба,736
фотографии,591
програмата,668
нивното,488
погледнете,236
р,723
целата,501
резултат,588
избор,147
почеток,6
речиси,519
најчесто,514
категорија,168
избори,163
вид,519
мислење,786
подобрување,141
наоѓаат,126
права,688
млади,496
велес,693
н,723
општината,693
секое,610
образование,93
секс,799
годинава,541
член,521
резултати,94
фото,202
пристап,220
градоначалникот,693
рамките,349
име,531
прво,519
новите,399
денови,348
значење,463
план,728
услуги,112
објави,113
процес,626
воопшто,597
битола,693
филм,433
организација,623
2011,471
помогне,682
култура,689
век,265
тимот,222
јуни,471
последните,795
дом,238
мај,471
никола,71
медиумите,88
оди,106
барем,597
интерес,759
никој,597
август,471
нејзината,501
половина,685
