vecslug,method,K,suffix_mean,pos_purity_mean,pos_entropy_mean,pos_coverage_mean,msi_mean
trained-mk_lemma_skipgram,parallel,200,0.3896784405121864,0.5115269591519592,0.0803011797869159,0.02367443132064685,0.12184851863977272
trained-mk_lemma_skipgram,parallel,400,0.4062476323773606,0.41205540701128934,0.04187753718357845,0.025835301812453207,0.005807774633928651
trained-mk_lemma_skipgram,parallel,800,0.4430994579081105,0.2999404761904762,0.014842412946529538,0.0246062475869594,-0.14315898171763433
trained-mk_lemma_skipgram,parallel,1200,0.4732282941138096,0.223527576489533,0.008217663273057832,0.02685016446821936,-0.24970071762427656
trained-mk_lemma_skipgram,parallel,2000,0.5117401361641186,0.14748611111111112,0.004140500986170294,0.022907959415659283,-0.3642540250530076
trained-mk_lemma_skipgram,serial,200,0.47666428549406265,0.4751187888198758,0.05459939857635199,0.01768349971125869,-0.0015454966741868593
trained-mk_lemma_skipgram,serial,400,0.4659504902891547,0.3831749598281883,0.026976799972255456,0.019789013998644887,-0.08277553046096642
trained-mk_lemma_skipgram,serial,800,0.4653837907989128,0.284911231884058,0.014165912816888206,0.023824609217646772,-0.18047255891485484
trained-mk_lemma_skipgram,serial,1200,0.47207819748731367,0.22482407407407407,0.0060777212275123955,0.02375764592754117,-0.2472541234132395
trained-mk_lemma_skipgram,serial,2000,0.5001296247945919,0.14707959770114942,0.0044048548326047305,0.023680082002586887,-0.3530500270934424
trained-mk_lemma_skipgram,sklearn,200,0.4245672200935847,0.44199662876775747,0.07097332609777637,0.01833620768229481,0.017429408674172777
trained-mk_lemma_skipgram,sklearn,400,0.45679803016052306,0.3576213244860786,0.03757608381947573,0.020675148025114595,-0.09917670567444448
trained-mk_lemma_skipgram,sklearn,800,0.4732496431795511,0.2636954761024883,0.01478017302051811,0.02304478329930325,-0.20955416707706284
trained-mk_lemma_skipgram,sklearn,1200,0.48030530137039135,0.22185416666666663,0.007439629427986916,0.024215429770388736,-0.2584511347037246
trained-mk_lemma_skipgram,sklearn,2000,0.4981591792974996,0.15355742296918765,0.004569911366640941,0.024068519179753698,-0.34460175632831186
trained-mk_skipgram,parallel,200,0.2897278308241538,0.5253809409009506,0.07198768741297883,0.017737297959161315,0.23565311007679668
trained-mk_skipgram,parallel,400,0.33836627294444455,0.3618431581521204,0.03276472380430884,0.01634221904861301,0.023476885207675897
trained-mk_skipgram,parallel,800,0.3587870701117785,0.25339828431372546,0.016510789989077786,0.016785780682160113,-0.10538878579805308
trained-mk_skipgram,parallel,1200,0.38882072379760396,0.19711349206349207,0.01032462078284609,0.01592219963114927,-0.1917072317341119
trained-mk_skipgram,parallel,2000,0.42189042091287215,0.13997777777777776,0.004242449647588962,0.015610338528843954,-0.2819126431350944
trained-mk_skipgram,serial,200,0.3360988118634113,0.4267483054226476,0.0666591088433463,0.012839301019677552,0.09064949355923624
trained-mk_skipgram,serial,400,0.3503995800206333,0.35267659877218704,0.03245591899217519,0.014687504121675743,0.002277018751553732
trained-mk_skipgram,serial,800,0.38717559878134467,0.2400248599439776,0.01354696339366028,0.01300019718081613,-0.14715073883736707
trained-mk_skipgram,serial,1200,0.3876185027300945,0.1861125541125541,0.009223967440514678,0.014016031330159266,-0.20150594861754043
trained-mk_skipgram,serial,2000,0.4058388582215044,0.1363002976190476,0.004998709340352985,0.014848101271964814,-0.26953856060245673
trained-mk_skipgram,sklearn,200,0.39906330097789494,0.5260215797851855,0.09906681463065255,0.00785158236611519,0.1269582788072905
trained-mk_skipgram,sklearn,400,0.3737230262795834,0.36193156883965705,0.04681992023628643,0.007567442719206052,-0.011791457439926361
trained-mk_skipgram,sklearn,800,0.31440729363676345,0.26180489338877494,0.02236850649616867,0.007868722969095078,-0.05260240024798847
trained-mk_skipgram,sklearn,1200,0.28354133515977326,0.21057601736713577,0.013326007011169653,0.007620578575613412,-0.07296531779263746
trained-mk_skipgram,sklearn,2000,0.2668451145400702,0.14374677691589455,0.007135290393646395,0.007371440460920113,-0.12309833762417564
